source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Carbetamida,16118-49-3,H,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Carbofurano,1563-66-2,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Carbosulfan,55285-14-8,"I, A",Toxicidad aguda: 1B; Convenciones internacionales: R,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clordano,12789-03-6,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Cloretoxifós,54593-83-8,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorfenvinfos,470-90-6,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clormefos,24934-91-6,"I, A",Toxicidad aguda: 1A,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorofacinona,3691-35-8,R,Toxicidad aguda: 1A; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorotalonil,1897-45-6,Fun,Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorotolurón,15545-48-9,H,Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorpirifos,2921-88-2,"I, A",Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clorpirifos-metilo,5598-13-0,"I, A",Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Clotianidina,210880-92-5,"I, A",Efectos graves: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Cumafós,56-72-4,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Cumatetralilo,5836-29-3,R,Toxicidad aguda: 1B; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Creosota,8001-58-9,Conserv. Mad.,Carcinogenicidad: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Ciproconazol,94361-06-5,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,DDT,50-29-3,"I, A","Convenciones internacionales: R, E",SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Demetón-S-metilo,919-86-8,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Diclorvos; DDVP,62-73-7,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dicofol,115-32-2,"I, A",Convenciones internacionales: E,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dicrotofos,141-66-2,"I, A",Toxicidad aguda: 1B,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Difenacoum,56073-07-5,R,Toxicidad aguda: 1A; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Difetialona,104653-34-1,R,Toxicidad aguda: 1A; Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
PROHIBITED,NO_UTILIZAR,ACTIVE_INGREDIENT,Dimetomorfo[3],110488-70-5,Fun,Toxicidad reproductiva: ✓,SGA.PRO.14,01,2026-03-24
