source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Fluazinam,79622-59-6,Fun,EPP; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Flufenacet,142459-58-3,H,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Flumioxazina,103361-09-7,H,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Fluopiram,658066-35-4,Fun,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Flupiradifurona,951659-40-8,"I, A",Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Folpet,133-07-3,Fun,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Fomesafeno sódico,108731-70-0,H,EPP; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Clorhidrato de formetanato,23422-53-9,"I, A",EPP; Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Glifosato, sal de isopropilamina",38641-94-0,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Glifosato-trimesio,81591-81-3,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
